,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
4 protect five,4 protect five,9,4,5,44.44%,8,1,24,25.78,58,2089,2119,753,37,37:11:00,43:54:00,31:49:00,12:05
s1 Lykos,s1 Lykos,9,4,5,44.44%,8,1,22.56,23.89,48.56,2096,2057,542,29,28:27:00,28:52:00,28:07:00,0:44
Trust,Trust,8,1,7,12.50%,4,4,16.38,27.62,34.5,1875,2021,756,41,35:15:00,42:43:00,34:11:00,8:31
Unknown Team,Unknown Team,8,4,4,50.00%,5,3,21.88,22.88,49.88,2022,1836,809,30,43:35:00,41:58:00,45:12:00,#VALUE!
Signature.Dota2,Signature.Dota2,8,1,7,12.50%,3,5,19.75,26.38,44.88,1967,2008,753,30,36:18:00,46:38:00,34:50:00,11:48
OverPower,OverPower,8,6,2,75.00%,2,6,31.62,22.12,65.12,2405,2501,758,30,33:30:00,29:36:00,45:11:00,#VALUE!
BlackSoul,BlackSoul,8,7,1,87.50%,4,4,26.5,18.62,58.38,2428,2503,826,34,34:24:00,33:49:00,38:31:00,#VALUE!
Pacific Blue,Pacific Blue,8,5,3,62.50%,5,3,24.62,20.88,51,2306,2480,830,29,36:45:00,33:15:00,42:36:00,#VALUE!
Fantastic Gaming Dota Team,Fantastic Gaming Dota Team,8,4,4,50.00%,5,3,24.38,25.25,70.38,2046,1984,662,25,36:06:00,39:27:00,32:45:00,6:41
LQ,LQ,8,2,6,25.00%,6,2,16,21.75,40.25,1948,1827,715,31,34:47:00,38:56:00,33:24:00,5:31
Wiggly Shrews,Wiggly Shrews,8,7,1,87.50%,3,5,36.38,29,86.38,2299,2471,889,39,43:38:00,44:58:00,34:20:00,10:38
Luccini Gaming,Luccini Gaming,8,1,7,12.50%,4,4,13.62,23.75,28.5,1775,1825,578,34,30:14:00,25:38:00,30:53:00,#VALUE!
Bheart.Zombie,Bheart.Zombie,8,2,6,25.00%,4,4,21.12,31.88,55.38,1827,1979,589,37,34:11:00,17:26,39:47:00,#VALUE!
Next Gen Aorus,Next Gen Aorus,8,2,6,25.00%,3,5,14.38,23.75,37,1816,1918,506,22,27:35:00,22:54,29:09:00,#VALUE!
